2,2,NULL,Akelco (Electric Coop.),Akelco (Electric Coop.),SOLUTIONS CLIENTS,"Quezon Venue, Kalibo, Aklan",NULL,NULL,5600 (036) 275-8327,NULL,NULL,NULL
4,4,NULL,Aselco (Electric Coop.),Aselco (Electric Coop.),SOLUTIONS CLIENTS," San Francisco, Agusan del Sur Tel",NULL,NULL,(085) 343-8456,NULL,NULL,NULL
14,14,NULL,Asuncion (Water District),Asuncion (Water District),SOLUTIONS CLIENTS,"Asuncion Water District Minicipal Economic Enterprise Bldg., Purok 3,Cambanogoy, Asuncion, Davao del Norte",NULL,NULL,0917-328-4976 Accntg,NULL,NULL,NULL
18,18,NULL,Baliwag (Water District),Baliwag (Water District),SOLUTIONS CLIENTS,"Baliwag Water District BWD Bldg.Tomacruz St.,Poblacion, Baliwag, Bulacan ",NULL,NULL,(044) 766-2618,NULL,NULL,NULL
31,31,NULL,Bansalan (Water District),Bansalan (Water District),SOLUTIONS CLIENTS,"Bansalan Water District 1535 R. De los Cientos St., Bansalan, Davao del Sur ",NULL,NULL,(082) 553-9228,NULL,NULL,NULL
37,37,NULL,Baselco (Electric Coop.),Baselco (Electric Coop.),SOLUTIONS CLIENTS,"7300 Lazaro Dr, Isabela City, Basilan ",NULL,NULL,Tel:(062) 200-7907 Fax:(062) 200-7905,NULL,NULL,NULL
196,196,NULL,Bayugan (Water District),Bayugan (Water District),SOLUTIONS CLIENTS," Lanzones St. Poblacion, Bayugan City Agusan del sur",NULL,NULL,0920-564-1445,NULL,NULL,NULL
209,209,NULL,Buseco (Electric Coop.),Buseco (Electric Coop.),SOLUTIONS CLIENTS," Sayre Hwy, Manolo Fortich, Bukidnon ",NULL,NULL,(088) 356-1026| (088) 85224,NULL,NULL,NULL
361,361,NULL,Cagelco 1 (Electric Coop.),Cagelco 1 (Electric Coop.),SOLUTIONS CLIENTS," Maddarulug, Solana,Cagayan ",NULL,NULL,Tel No. (078) 844-1595 Fax No. (078) 844 - 4528,NULL,NULL,NULL
426,426,NULL,Cagelco II (Electric Coop.),Cagelco II (Electric Coop.),SOLUTIONS CLIENTS,"Maharlika Highway, Macanaya District, Apa",NULL,NULL,(078) 888 2173,NULL,NULL,NULL
481,481,NULL,Camelco (Electric Coop.),Camelco (Electric Coop.),SOLUTIONS CLIENTS," Mambajao, Camiguin",NULL,NULL,9354591834,NULL,NULL,NULL
518,518,NULL,"Cebu III Electric Cooperative,Inc.","Cebu III Electric Cooperative,Inc.",SOLUTIONS CLIENTS," Toledo City, Cebu",NULL,NULL,9176244406,NULL,NULL,NULL
820,820,NULL,Cotelco (Electric Coop.),Cotelco (Electric Coop.),SOLUTIONS CLIENTS," Matalam, North Cotabato",NULL,NULL,Tel:(064) 288-5264,NULL,NULL,NULL
864,864,NULL,Cotelcoppalma - B&C (Electric Coop.),Cotelcoppalma - B&C (Electric Coop.),SOLUTIONS CLIENTS," Midsayap, North Cotabato",NULL,NULL,(064) 229-8500,NULL,NULL,NULL
883,883,NULL,Cotelcoppalma - MRR (Electric Coop.),Cotelcoppalma - MRR (Electric Coop.),SOLUTIONS CLIENTS,"COTELCOPPALMA-MRR Pigkawayan, North Cotabato",NULL,NULL,(064) 229 - 8500  Tel(064) 431-7623,NULL,NULL,NULL
