"id","name","created_at","updated_at"
"1","ACCESSORIES","2019-05-25 04:00:00","2021-04-30 07:50:11"
"2","ACTB","2019-05-25 04:00:00","2021-04-27 14:18:06"
"3","AMPLIFIER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"4","ANDROID","2019-05-25 04:00:00","2021-04-22 16:06:23"
"5","APEX","2019-05-25 04:00:00","2019-05-25 04:00:00"
"6","BATTERY","2019-05-25 04:00:00","2019-05-25 04:00:00"
"7","SAFETY BELT","2019-05-25 04:00:00","2019-05-25 04:00:00"
"8","CABINET","2019-05-25 04:00:00","2019-05-25 04:00:00"
"9","CABLE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"10","CAMERA","2019-05-25 04:00:00","2019-05-25 04:00:00"
"11","CATV/SIR ED","2019-05-25 04:00:00","2019-05-25 04:00:00"
"12","CHAIR","2019-05-25 04:00:00","2019-05-25 04:00:00"
"13","CISCO","2019-05-25 04:00:00","2019-05-25 04:00:00"
"14","CLOSURE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"15","COUPLER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"16","DRONE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"17","ELECTRICAL SUPPLY","2019-05-25 04:00:00","2019-05-25 04:00:00"
"18","ENCLOSURE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"19","EPON","2019-05-25 04:00:00","2019-05-25 04:00:00"
"20","FAST CONNECTOR","2019-05-25 04:00:00","2019-05-25 04:00:00"
"21","FIBER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"22","GPON","2019-05-25 04:00:00","2019-05-25 04:00:00"
"23","HUAWEI","2019-05-25 04:00:00","2019-05-25 04:00:00"
"24","KEYBOARD","2019-05-25 04:00:00","2019-05-25 04:00:00"
"25","LADDER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"26","MACHINE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"27","MODEM","2019-05-25 04:00:00","2019-05-25 04:00:00"
"28","MODULE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"29","MONITOR","2019-05-25 04:00:00","2019-05-25 04:00:00"
"30","MOLDING","2019-05-25 04:00:00","2019-05-25 04:00:00"
"31","OTDR","2019-05-25 04:00:00","2019-05-25 04:00:00"
"32","ONT","2019-05-25 04:00:00","2019-05-25 04:00:00"
"33","PAPER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"34","DOCKING STATION","2019-05-25 04:00:00","2019-05-25 04:00:00"
"35","PATCH CORD","2019-05-25 04:00:00","2019-05-25 04:00:00"
"36","PHONE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"37","PIGTAIL","2019-05-25 04:00:00","2019-05-25 04:00:00"
"38","PRINTER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"39","PSION","2019-05-25 04:00:00","2019-05-25 04:00:00"
"40","PVC PIPE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"41","RICHERLINK","2019-05-25 04:00:00","2019-05-25 04:00:00"
"42","ROUTER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"43","SCANNER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"44","SFP","2019-05-25 04:00:00","2019-05-25 04:00:00"
"45","TELEVISION","2019-05-25 04:00:00","2019-05-25 04:00:00"
"46","SPLITTER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"47","SSD","2019-05-25 04:00:00","2019-05-25 04:00:00"
"48","HDD HARD DISK","2019-05-25 04:00:00","2019-05-25 04:00:00"
"49","SERVER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"50","SWITCH","2019-05-25 04:00:00","2019-05-25 04:00:00"
"51","TABLE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"52","TARPAULINE","2019-05-25 04:00:00","2019-05-25 04:00:00"
"53","TOOLS","2019-05-25 04:00:00","2019-05-25 04:00:00"
"54","TRANCEIVER","2019-05-25 04:00:00","2019-05-25 04:00:00"
"55","VIDEO CARD","2019-05-25 04:00:00","2019-05-25 04:00:00"
"56","WIRELESS","2019-05-25 04:00:00","2019-05-25 04:00:00"
"70","ACT",NULL,NULL
"71","SAMPLECAT","2021-05-12 08:54:57","2021-05-12 08:54:57"
"72","AIRCON",NULL,NULL
"73","BAG",NULL,NULL
"74","BELT",NULL,NULL
"75","BIOMETRICS",NULL,NULL
"76","BROTHER",NULL,NULL
"77","CARD",NULL,NULL
"78","CMX",NULL,NULL
"79","COMPUTER",NULL,NULL
"80","DAHUA",NULL,NULL
"81","DESKTOP",NULL,NULL
"82","ECLASS",NULL,NULL
"83","EPSON",NULL,NULL
"84","ELECTRODE",NULL,NULL
"85","FUJIKURA",NULL,NULL
"86","HDMI",NULL,NULL
"87","HEADSET",NULL,NULL
"88","HENVCON",NULL,NULL
"89","HIKVISION",NULL,NULL
"90","HPE",NULL,NULL
"91","HOUSEKEEPING SUPPLY",NULL,NULL
"92","INK",NULL,NULL
"93","LAPTOP",NULL,NULL
"94","LED",NULL,NULL
"95","LICENSE",NULL,NULL
"96","MEMORY",NULL,NULL
"97","MOUSE",NULL,NULL
"98","MPOL",NULL,NULL
"99","NAP",NULL,NULL
"100","NETWORK VIDEO RECORDER",NULL,NULL
"101","ODF",NULL,NULL
"102","OLT",NULL,NULL
"103","OPTICAL POWER METER",NULL,NULL
"104","OPENVOX",NULL,NULL
"105","QUEUING",NULL,NULL
"106","SOUND SYSTEM",NULL,NULL
"107","SUPPLY",NULL,NULL
"108","TERMINAL BOX",NULL,NULL
"109","UPS",NULL,NULL
